,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,User_age,hours,days
0,5.0,5.0,1.0,0.01,0.01,0.01,1161.0,2.69592327,1.6125,1161.0,48.375
1,5.0,5.0,1.0,0.01,0.01,0.1,1161.0,2.69592327,1.6125,1161.0,48.375
2,5.0,5.0,1.0,0.01,0.1,0.01,1161.0,2.69592327,1.6125,1161.0,48.375
3,5.0,5.0,1.0,0.01,0.1,0.1,1161.0,2.69592327,1.6125,1161.0,48.375
4,5.0,5.0,1.0,0.1,0.01,0.01,1161.0,2.69592327,1.6125,1161.0,48.375
5,5.0,5.0,1.0,0.1,0.01,0.1,1161.0,2.69592327,1.6125,1161.0,48.375
6,5.0,5.0,1.0,0.1,0.1,0.01,1161.0,2.69592327,1.6125,1161.0,48.375
7,5.0,5.0,1.0,0.1,0.1,0.1,1161.0,2.69592327,1.6125,1161.0,48.375
8,5.0,10.0,1.0,0.01,0.01,0.01,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
9,5.0,10.0,1.0,0.01,0.01,0.1,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
10,5.0,10.0,1.0,0.01,0.1,0.01,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
11,5.0,10.0,1.0,0.01,0.1,0.1,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
12,5.0,10.0,1.0,0.1,0.01,0.01,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
13,5.0,10.0,1.0,0.1,0.01,0.1,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
14,5.0,10.0,1.0,0.1,0.1,0.01,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
15,5.0,10.0,1.0,0.1,0.1,0.1,1389.0,3.22535523,1.9291666666666667,1389.0,57.875
16,5.0,15.0,1.0,0.01,0.01,0.01,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
17,5.0,15.0,1.0,0.01,0.01,0.1,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
18,5.0,15.0,1.0,0.01,0.1,0.01,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
19,5.0,15.0,1.0,0.01,0.1,0.1,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
20,5.0,15.0,1.0,0.1,0.01,0.01,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
21,5.0,15.0,1.0,0.1,0.01,0.1,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
22,5.0,15.0,1.0,0.1,0.1,0.01,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
23,5.0,15.0,1.0,0.1,0.1,0.1,1522.0,3.53419054,2.113888888888889,1522.0,63.416666666666664
24,5.0,20.0,1.0,0.01,0.01,0.01,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
25,5.0,20.0,1.0,0.01,0.01,0.1,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
26,5.0,20.0,1.0,0.01,0.1,0.01,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
27,5.0,20.0,1.0,0.01,0.1,0.1,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
28,5.0,20.0,1.0,0.1,0.01,0.01,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
29,5.0,20.0,1.0,0.1,0.01,0.1,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
30,5.0,20.0,1.0,0.1,0.1,0.01,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
31,5.0,20.0,1.0,0.1,0.1,0.1,1621.0,3.76407547,2.251388888888889,1621.0,67.54166666666667
32,5.0,25.0,1.0,0.01,0.01,0.01,1707.0,3.96377349,2.370833333333333,1707.0,71.125
33,5.0,25.0,1.0,0.01,0.01,0.1,1707.0,3.96377349,2.370833333333333,1707.0,71.125
34,5.0,25.0,1.0,0.01,0.1,0.01,1707.0,3.96377349,2.370833333333333,1707.0,71.125
35,5.0,25.0,1.0,0.01,0.1,0.1,1707.0,3.96377349,2.370833333333333,1707.0,71.125
36,5.0,25.0,1.0,0.1,0.01,0.01,1707.0,3.96377349,2.370833333333333,1707.0,71.125
37,5.0,25.0,1.0,0.1,0.01,0.1,1707.0,3.96377349,2.370833333333333,1707.0,71.125
38,5.0,25.0,1.0,0.1,0.1,0.01,1707.0,3.96377349,2.370833333333333,1707.0,71.125
39,5.0,25.0,1.0,0.1,0.1,0.1,1707.0,3.96377349,2.370833333333333,1707.0,71.125
40,5.0,30.0,1.0,0.01,0.01,0.01,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
41,5.0,30.0,1.0,0.01,0.01,0.1,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
42,5.0,30.0,1.0,0.01,0.1,0.01,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
43,5.0,30.0,1.0,0.01,0.1,0.1,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
44,5.0,30.0,1.0,0.1,0.01,0.01,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
45,5.0,30.0,1.0,0.1,0.01,0.1,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
46,5.0,30.0,1.0,0.1,0.1,0.01,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
47,5.0,30.0,1.0,0.1,0.1,0.1,1786.0,4.14721702,2.4805555555555556,1786.0,74.41666666666667
48,5.0,35.0,1.0,0.01,0.01,0.01,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
49,5.0,35.0,1.0,0.01,0.01,0.1,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
50,5.0,35.0,1.0,0.01,0.1,0.01,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
51,5.0,35.0,1.0,0.01,0.1,0.1,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
52,5.0,35.0,1.0,0.1,0.01,0.01,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
53,5.0,35.0,1.0,0.1,0.01,0.1,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
54,5.0,35.0,1.0,0.1,0.1,0.01,1858.0,4.31440606,2.5805555555555557,1858.0,77.41666666666667
