,B_VALUE,C_VALUE,BETA1,BETA2,transactions,ETH,hours,days,FinalScore
0,100.0,100.0,0.95,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
1,100.0,100.0,0.95,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
2,100.0,100.0,0.95,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
3,100.0,100.0,0.95,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
4,100.0,100.0,0.95,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
5,100.0,100.0,0.95,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
6,100.0,100.0,0.95,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
7,100.0,100.0,0.95,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
8,100.0,100.0,0.95,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
9,100.0,100.0,0.96,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
10,100.0,100.0,0.96,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
11,100.0,100.0,0.96,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
12,100.0,100.0,0.96,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
13,100.0,100.0,0.96,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
14,100.0,100.0,0.96,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
15,100.0,100.0,0.96,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
16,100.0,100.0,0.96,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
17,100.0,100.0,0.96,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
18,100.0,100.0,0.97,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
19,100.0,100.0,0.97,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
