,B_VALUE,C_VALUE,BETA_S1,BETA_S2,transactions,ETH
0,100.0,100.0,0.01,100.0,13676.0,31.75662932
1,100.0,100.0,0.01,200.0,98.0,0.22756286
2,100.0,100.0,0.1,100.0,1373.0,3.18820211
3,100.0,100.0,0.1,200.0,11.0,0.02554277
4,100.0,200.0,0.01,100.0,6942.0,16.11980994
5,100.0,200.0,0.01,200.0,96.0,0.22291872
6,100.0,200.0,0.1,100.0,699.0,1.62312693
7,100.0,200.0,0.1,200.0,11.0,0.02554277
8,100.0,300.0,0.01,100.0,4697.0,10.90676279
9,100.0,300.0,0.01,200.0,95.0,0.22059665
10,100.0,300.0,0.1,100.0,474.0,1.10066118
11,100.0,300.0,0.1,200.0,11.0,0.02554277
12,100.0,400.0,0.01,100.0,3575.0,8.30140025
13,100.0,400.0,0.01,200.0,94.0,0.21827458
14,100.0,400.0,0.1,100.0,362.0,0.84058934
15,100.0,400.0,0.1,200.0,11.0,0.02554277
16,100.0,500.0,0.01,100.0,2901.0,6.73632507
17,100.0,500.0,0.01,200.0,93.0,0.21595251
18,100.0,500.0,0.1,100.0,295.0,0.68501065
19,100.0,500.0,0.1,200.0,11.0,0.02554277
20,100.0,600.0,0.01,100.0,2453.0,5.69603771
21,100.0,600.0,0.01,200.0,92.0,0.21363044
22,100.0,600.0,0.1,100.0,250.0,0.5805175
23,100.0,600.0,0.1,200.0,11.0,0.02554277
24,100.0,700.0,0.01,100.0,2132.0,4.95065324
25,100.0,700.0,0.01,200.0,92.0,0.21363044
26,100.0,700.0,0.1,100.0,218.0,0.50621126
27,100.0,700.0,0.1,200.0,11.0,0.02554277
28,100.0,800.0,0.01,100.0,1892.0,4.39335644
29,100.0,800.0,0.01,200.0,91.0,0.21130837
30,100.0,800.0,0.1,100.0,194.0,0.45048158
31,100.0,800.0,0.1,200.0,11.0,0.02554277
32,100.0,900.0,0.01,100.0,1705.0,3.95912935
33,100.0,900.0,0.01,200.0,91.0,0.21130837
34,100.0,900.0,0.1,100.0,175.0,0.40636225
35,100.0,900.0,0.1,200.0,11.0,0.02554277
36,100.0,1000.0,0.01,100.0,1555.0,3.61081885
37,100.0,1000.0,0.01,200.0,90.0,0.2089863
38,100.0,1000.0,0.1,100.0,160.0,0.3715312
39,100.0,1000.0,0.1,200.0,11.0,0.02554277
40,100.0,1100.0,0.01,100.0,1433.0,3.32752631
41,100.0,1100.0,0.01,200.0,90.0,0.2089863
42,100.0,1100.0,0.1,100.0,148.0,0.34366636
43,100.0,1100.0,0.1,200.0,11.0,0.02554277
44,100.0,1200.0,0.01,100.0,1331.0,3.09067517
45,100.0,1200.0,0.01,200.0,89.0,0.20666423
46,100.0,1200.0,0.1,100.0,137.0,0.31812359
47,100.0,1200.0,0.1,200.0,11.0,0.02554277
48,200.0,100.0,0.01,100.0,108155.0,251.14348085
49,200.0,100.0,0.01,200.0,199.0,0.46209193
50,200.0,100.0,0.1,100.0,10821.0,25.12711947
51,200.0,100.0,0.1,200.0,21.0,0.04876347
52,200.0,200.0,0.01,100.0,54282.0,126.04660374
53,200.0,200.0,0.01,200.0,197.0,0.45744779
54,200.0,200.0,0.1,100.0,5434.0,12.61812838
55,200.0,200.0,0.1,200.0,21.0,0.04876347
56,200.0,300.0,0.01,100.0,36325.0,84.34919275
57,200.0,300.0,0.01,200.0,195.0,0.45280365
58,200.0,300.0,0.1,100.0,3638.0,8.44769066
59,200.0,300.0,0.1,200.0,21.0,0.04876347
60,200.0,400.0,0.01,100.0,27346.0,63.49932622
61,200.0,400.0,0.01,200.0,194.0,0.45048158
62,200.0,400.0,0.1,100.0,2740.0,6.3624718
63,200.0,400.0,0.1,200.0,21.0,0.04876347
64,200.0,500.0,0.01,100.0,21959.0,50.99033513
