,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
0,100.0,100.0,1.0,0.01,10.0,0.01,156.0,0.36224292,13418.0,559.0833333333334
1,100.0,100.0,1.0,0.01,10.0,0.05,106.0,0.24613942,9176.0,382.3333333333333
2,100.0,100.0,1.0,0.01,10.0,0.1,73.0,0.16951111,5903.0,245.95833333333334
3,100.0,100.0,1.0,0.01,11.0,0.01,164.0,0.38081948,13434.0,559.75
4,100.0,100.0,1.0,0.01,11.0,0.05,114.0,0.26471598,8941.0,372.5416666666667
5,100.0,100.0,1.0,0.01,11.0,0.1,84.0,0.19505388,6101.0,254.20833333333334
6,100.0,100.0,1.0,0.01,12.0,0.01,162.0,0.37617534,14735.0,613.9583333333334
7,100.0,100.0,1.0,0.01,12.0,0.05,122.0,0.28329254,10067.0,419.4583333333333
8,100.0,100.0,1.0,0.01,12.0,0.1,96.0,0.22291872,7370.0,307.0833333333333
9,100.0,100.0,1.0,0.01,13.0,0.01,174.0,0.40404018,14775.0,615.625
10,100.0,100.0,1.0,0.01,13.0,0.05,141.0,0.32741187,10876.0,453.1666666666667
11,100.0,100.0,1.0,0.01,13.0,0.1,112.0,0.26007184,9341.0,389.2083333333333
12,100.0,100.0,1.0,0.01,14.0,0.01,171.0,0.39707397,14172.0,590.5
13,100.0,100.0,1.0,0.01,14.0,0.05,148.0,0.34366636,13355.0,556.4583333333334
14,100.0,100.0,1.0,0.01,14.0,0.1,134.0,0.31115738,10437.0,434.875
15,100.0,100.0,1.0,0.01,15.0,0.01,172.0,0.39939604,15358.0,639.9166666666666
16,100.0,100.0,1.0,0.01,15.0,0.05,166.0,0.38546362,13935.0,580.625
17,100.0,100.0,1.0,0.01,15.0,0.1,161.0,0.37385327,13092.0,545.5
18,100.0,100.0,1.0,0.01,16.0,0.01,183.0,0.42493881,14727.0,613.625
19,100.0,100.0,1.0,0.01,16.0,0.05,180.0,0.4179726,14350.0,597.9166666666666
20,100.0,100.0,1.0,0.01,16.0,0.1,180.0,0.4179726,15052.0,627.1666666666666
21,100.0,100.0,1.0,0.01,17.0,0.01,186.0,0.43190502,14735.0,613.9583333333334
22,100.0,100.0,1.0,0.01,17.0,0.05,192.0,0.44583744,14725.0,613.5416666666666
23,100.0,100.0,1.0,0.01,17.0,0.1,178.0,0.41332846,15445.0,643.5416666666666
24,100.0,100.0,1.0,0.01,18.0,0.01,181.0,0.42029467,15404.0,641.8333333333334
25,100.0,100.0,1.0,0.01,18.0,0.05,186.0,0.43190502,14587.0,607.7916666666666
26,100.0,100.0,1.0,0.01,18.0,0.1,178.0,0.41332846,15245.0,635.2083333333334
27,100.0,100.0,1.0,0.05,10.0,0.01,33.0,0.07662831,3039.0,126.625
