,B_VALUE,C_VALUE,BETA1,BETA2,transactions,ETH,hours,days,FinalScore
0,100.0,100.0,0.95,500.0,9.0,0.02089863,531.0,22.125,99.7800590960224
1,100.0,100.0,0.95,1000.0,12.0,0.02786484,444.0,18.5,99.84950074699643
2,100.0,100.0,0.95,1500.0,10.0,0.0232207,1410.0,58.75,99.88242013587086
3,100.0,100.0,0.95,2000.0,10.0,0.0232207,980.0,40.833333333333336,99.78077808498344
4,100.0,100.0,0.95,2500.0,83.0,0.19273181,1245.0,51.875,99.02153704330274
5,100.0,100.0,0.95,3000.0,10.0,0.0232207,960.0,40.0,99.15443219852295
6,100.0,100.0,0.95,3500.0,10.0,0.0232207,1470.0,61.25,99.12046886808501
7,100.0,100.0,0.95,4000.0,22.0,0.05108554,726.0,30.25,99.64799834882977
8,100.0,100.0,0.95,4500.0,11.0,0.02554277,1133.0,47.208333333333336,99.77089179577649
9,100.0,100.0,0.96,500.0,9.0,0.02089863,387.0,16.125,99.542811905551
10,100.0,100.0,0.96,1000.0,17.0,0.03947519,442.0,18.416666666666668,99.76877535649437
11,100.0,100.0,0.96,1500.0,9.0,0.02089863,1296.0,54.0,99.01895746536567
12,100.0,100.0,0.96,2000.0,9.0,0.02089863,1017.0,42.375,99.4539912001247
13,100.0,100.0,0.96,2500.0,10.0,0.0232207,700.0,29.166666666666668,99.61881807966037
14,100.0,100.0,0.96,3000.0,10.0,0.0232207,830.0,34.583333333333336,99.59262782937279
15,100.0,100.0,0.96,3500.0,10.0,0.0232207,840.0,35.0,99.28714749284313
16,100.0,100.0,0.96,4000.0,10.0,0.0232207,1670.0,69.58333333333333,99.81199007497197
17,100.0,100.0,0.96,4500.0,10.0,0.0232207,1240.0,51.666666666666664,99.55492722492586
18,100.0,100.0,0.97,500.0,9.0,0.02089863,1350.0,56.25,99.83214468857805
19,100.0,100.0,0.97,1000.0,9.0,0.02089863,504.0,21.0,99.27659073816677
20,100.0,100.0,0.97,1500.0,181.0,0.42029467,2353.0,98.04166666666667,99.08724621508793
21,100.0,100.0,0.97,2000.0,21.0,0.04876347,546.0,22.75,99.16466917046773
22,100.0,100.0,0.97,2500.0,9.0,0.02089863,1404.0,58.5,99.60762449765987
23,100.0,100.0,0.97,3000.0,11.0,0.02554277,682.0,28.416666666666668,99.74261954465942
24,100.0,100.0,0.97,3500.0,9.0,0.02089863,1296.0,54.0,99.10794804509446
25,100.0,100.0,0.97,4000.0,9.0,0.02089863,1278.0,53.25,99.36749021798951
26,100.0,100.0,0.97,4500.0,10000.0,23.2207,0.0,0.0,0.24814048950054235
27,100.0,100.0,0.98,500.0,11.0,0.02554277,319.0,13.291666666666666,99.3501877792326
28,100.0,100.0,0.98,1000.0,8.0,0.01857656,944.0,39.333333333333336,99.27354047022179
29,100.0,100.0,0.98,1500.0,9.0,0.02089863,1242.0,51.75,99.91287658833076
30,100.0,100.0,0.98,2000.0,24.0,0.05572968,552.0,23.0,99.60039132583442
31,100.0,100.0,0.98,2500.0,10.0,0.0232207,700.0,29.166666666666668,99.84519128614947
32,100.0,100.0,0.98,3000.0,26.0,0.06037382,650.0,27.083333333333332,99.1104734238574
33,100.0,100.0,0.98,3500.0,9.0,0.02089863,1476.0,61.5,99.82488303394564
34,100.0,100.0,0.98,4000.0,21.0,0.04876347,651.0,27.125,99.0796524211994
35,100.0,100.0,0.98,4500.0,11.0,0.02554277,748.0,31.166666666666668,99.61659840320944
36,100.0,100.0,0.99,500.0,8.0,0.01857656,672.0,28.0,99.69834334551457
37,100.0,100.0,0.99,1000.0,9.0,0.02089863,657.0,27.375,99.91058247909702
38,100.0,100.0,0.99,1500.0,8.0,0.01857656,920.0,38.333333333333336,99.4841005989864
39,100.0,100.0,0.99,2000.0,9.0,0.02089863,801.0,33.375,99.87042377418204
40,100.0,100.0,0.99,2500.0,8.0,0.01857656,1240.0,51.666666666666664,99.34723314023766
41,100.0,100.0,0.99,3000.0,10000.0,23.2207,100000.0,4166.666666666667,0.24814048950054235
42,100.0,100.0,0.99,3500.0,9.0,0.02089863,837.0,34.875,99.60933974451886
43,100.0,100.0,0.99,4000.0,9.0,0.02089863,927.0,38.625,99.64192150841329
44,100.0,100.0,0.99,4500.0,17.0,0.03947519,663.0,27.625,99.75191092408706
45,100.0,200.0,0.95,500.0,10.0,0.0232207,1370.0,57.083333333333336,99.85602821475106
46,100.0,200.0,0.95,1000.0,9.0,0.02089863,747.0,31.125,99.09447847750526
47,100.0,200.0,0.95,1500.0,10.0,0.0232207,1630.0,67.91666666666667,99.58363253657143
48,100.0,200.0,0.95,2000.0,11.0,0.02554277,660.0,27.5,99.68514606353416
49,100.0,200.0,0.95,2500.0,10.0,0.0232207,1370.0,57.083333333333336,99.56966222810462
50,100.0,200.0,0.95,3000.0,11.0,0.02554277,770.0,32.083333333333336,99.64793080679392
51,100.0,200.0,0.95,3500.0,12.0,0.02786484,768.0,32.0,99.63170499867917
52,100.0,200.0,0.95,4000.0,16.0,0.03715312,688.0,28.666666666666668,99.50478022407646
53,100.0,200.0,0.95,4500.0,11.0,0.02554277,1155.0,48.125,99.61094621276713
54,100.0,200.0,0.96,500.0,10.0,0.0232207,400.0,16.666666666666668,99.80553830478598
55,100.0,200.0,0.96,1000.0,10.0,0.0232207,1450.0,60.416666666666664,99.84955070042132
56,100.0,200.0,0.96,1500.0,10.0,0.0232207,1470.0,61.25,99.81457090668322
57,100.0,200.0,0.96,2000.0,10.0,0.0232207,820.0,34.166666666666664,99.7461147547529
58,100.0,200.0,0.96,2500.0,10.0,0.0232207,890.0,37.083333333333336,99.72507052057179
59,100.0,200.0,0.96,3000.0,21.0,0.04876347,651.0,27.125,99.59370505658912
60,100.0,200.0,0.96,3500.0,13.0,0.03018691,728.0,30.333333333333332,99.71791493507045
61,100.0,200.0,0.96,4000.0,10.0,0.0232207,1130.0,47.083333333333336,99.51375696295071
62,100.0,200.0,0.96,4500.0,18.0,0.04179726,702.0,29.25,99.29191146949069
63,100.0,200.0,0.97,500.0,9.0,0.02089863,450.0,18.75,99.53925644759023
64,100.0,200.0,0.97,1000.0,9.0,0.02089863,1053.0,43.875,99.77291830799805
65,100.0,200.0,0.97,1500.0,19.0,0.04411933,494.0,20.583333333333332,99.12866614544429
66,100.0,200.0,0.97,2000.0,9.0,0.02089863,909.0,37.875,99.24449846929897
67,100.0,200.0,0.97,2500.0,9.0,0.02089863,1386.0,57.75,99.19891045921425
68,100.0,200.0,0.97,3000.0,10000.0,23.2207,70000.0,2916.6666666666665,0.49262285116628557
69,100.0,200.0,0.97,3500.0,11.0,0.02554277,792.0,33.0,99.60306407432104
70,100.0,200.0,0.97,4000.0,14.0,0.03250898,644.0,26.833333333333332,99.12104760794368
71,100.0,200.0,0.97,4500.0,12.0,0.02786484,888.0,37.0,99.82487946017127
72,100.0,200.0,0.98,500.0,9.0,0.02089863,666.0,27.75,99.87462856502447
73,100.0,200.0,0.98,1000.0,9.0,0.02089863,1350.0,56.25,99.82830373034078
74,100.0,200.0,0.98,1500.0,9.0,0.02089863,648.0,27.0,99.28538495906702
75,100.0,200.0,0.98,2000.0,10.0,0.0232207,730.0,30.416666666666668,99.82662026485633
76,100.0,200.0,0.98,2500.0,11.0,0.02554277,583.0,24.291666666666668,99.06477845027149
77,100.0,200.0,0.98,3000.0,25.0,0.05805175,650.0,27.083333333333332,99.17159872986812
78,100.0,200.0,0.98,3500.0,100.0,0.232207,1500.0,62.5,99.11851449626738
79,100.0,200.0,0.98,4000.0,11.0,0.02554277,770.0,32.083333333333336,99.70069894606142
80,100.0,200.0,0.98,4500.0,10.0,0.0232207,1220.0,50.833333333333336,99.85484890667628
81,100.0,200.0,0.99,500.0,10.0,0.0232207,330.0,13.75,99.15231568276694
82,100.0,200.0,0.99,1000.0,9.0,0.02089863,612.0,25.5,99.80036213178487
83,100.0,200.0,0.99,1500.0,9.0,0.02089863,819.0,34.125,99.84693885556585
84,100.0,200.0,0.99,2000.0,9.0,0.02089863,1413.0,58.875,99.89862226684394
85,100.0,200.0,0.99,2500.0,11.0,0.02554277,583.0,24.291666666666668,99.47626056692296
86,100.0,200.0,0.99,3000.0,21.0,0.04876347,609.0,25.375,99.5594787008741
87,100.0,200.0,0.99,3500.0,9.0,0.02089863,1440.0,60.0,99.85106710598095
88,100.0,200.0,0.99,4000.0,9.0,0.02089863,1206.0,50.25,99.75745707704986
89,100.0,200.0,0.99,4500.0,11.0,0.02554277,704.0,29.333333333333332,99.01134432232396
90,100.0,300.0,0.95,500.0,10000.0,23.2207,60000.0,2500.0,0.7335360917853417
91,100.0,300.0,0.95,1000.0,14.0,0.03250898,434.0,18.083333333333332,99.43757679531093
92,100.0,300.0,0.95,1500.0,10.0,0.0232207,1600.0,66.66666666666667,99.36228589720677
93,100.0,300.0,0.95,2000.0,10.0,0.0232207,1520.0,63.333333333333336,99.09978628961613
94,100.0,300.0,0.95,2500.0,13.0,0.03018691,598.0,24.916666666666668,99.49376593561094
95,100.0,300.0,0.95,3000.0,11.0,0.02554277,1111.0,46.291666666666664,99.76739208253869
96,100.0,300.0,0.95,3500.0,11.0,0.02554277,1518.0,63.25,99.81975362779805
97,100.0,300.0,0.95,4000.0,19.0,0.04411933,722.0,30.083333333333332,99.58652715641524
98,100.0,300.0,0.95,4500.0,12.0,0.02786484,840.0,35.0,99.34457727670764
99,100.0,300.0,0.96,500.0,10.0,0.0232207,1460.0,60.833333333333336,99.82122222808944
100,100.0,300.0,0.96,1000.0,10.0,0.0232207,1520.0,63.333333333333336,99.78461570001271
101,100.0,300.0,0.96,1500.0,9.0,0.02089863,1035.0,43.125,99.02616408576779
102,100.0,300.0,0.96,2000.0,14.0,0.03250898,532.0,22.166666666666668,99.38729279586565
103,100.0,300.0,0.96,2500.0,10.0,0.0232207,1380.0,57.5,99.7270494381133
104,100.0,300.0,0.96,3000.0,10000.0,23.2207,50000.0,2083.3333333333335,0.7335360917853417
105,100.0,300.0,0.96,3500.0,10.0,0.0232207,1230.0,51.25,99.29171697506413
106,100.0,300.0,0.96,4000.0,10.0,0.0232207,1350.0,56.25,99.39225283122524
107,100.0,300.0,0.96,4500.0,12.0,0.02786484,864.0,36.0,99.23562038217057
108,100.0,300.0,0.97,500.0,10.0,0.0232207,390.0,16.25,99.70244154771416
109,100.0,300.0,0.97,1000.0,11.0,0.02554277,440.0,18.333333333333332,99.51586332618648
110,100.0,300.0,0.97,1500.0,9.0,0.02089863,1143.0,47.625,99.35998795909727
111,100.0,300.0,0.97,2000.0,10.0,0.0232207,980.0,40.833333333333336,99.83101136831874
112,100.0,300.0,0.97,2500.0,10.0,0.0232207,1260.0,52.5,99.83654476924987
113,100.0,300.0,0.97,3000.0,35.0,0.08127245,735.0,30.625,99.34853586096675
114,100.0,300.0,0.97,3500.0,41.0,0.09520487,820.0,34.166666666666664,99.07160209902996
115,100.0,300.0,0.97,4000.0,18.0,0.04179726,666.0,27.75,99.16958211085041
116,100.0,300.0,0.97,4500.0,11.0,0.02554277,979.0,40.791666666666664,99.76983573195808
117,100.0,300.0,0.98,500.0,9.0,0.02089863,1035.0,43.125,99.85333990082084
118,100.0,300.0,0.98,1000.0,9.0,0.02089863,927.0,38.625,99.76666402308612
119,100.0,300.0,0.98,1500.0,9.0,0.02089863,963.0,40.125,99.6894731954582
120,100.0,300.0,0.98,2000.0,9.0,0.02089863,1494.0,62.25,99.6783872782111
121,100.0,300.0,0.98,2500.0,11.0,0.02554277,616.0,25.666666666666668,99.34934702765133
122,100.0,300.0,0.98,3000.0,10.0,0.0232207,850.0,35.416666666666664,99.70738016570199
123,100.0,300.0,0.98,3500.0,13.0,0.03018691,663.0,27.625,99.46925838097336
124,100.0,300.0,0.98,4000.0,10.0,0.0232207,880.0,36.666666666666664,99.45643687451525
125,100.0,300.0,0.98,4500.0,10.0,0.0232207,1460.0,60.833333333333336,99.8506326528857
126,100.0,300.0,0.99,500.0,10.0,0.0232207,350.0,14.583333333333334,99.4220851563258
127,100.0,300.0,0.99,1000.0,36.0,0.08359452,612.0,25.5,99.26071891790333
128,100.0,300.0,0.99,1500.0,9.0,0.02089863,774.0,32.25,99.72565622226864
129,100.0,300.0,0.99,2000.0,9.0,0.02089863,1269.0,52.875,99.84556186448006
130,100.0,300.0,0.99,2500.0,24.0,0.05572968,600.0,25.0,99.06895466237063
131,100.0,300.0,0.99,3000.0,18.0,0.04179726,594.0,24.75,99.50959538357421
132,100.0,300.0,0.99,3500.0,9.0,0.02089863,936.0,39.0,99.29948525412348
133,100.0,300.0,0.99,4000.0,9.0,0.02089863,1467.0,61.125,99.75550340378594
134,100.0,300.0,0.99,4500.0,9.0,0.02089863,1449.0,60.375,99.71276254286352
135,100.0,400.0,0.95,500.0,10000.0,23.2207,110000.0,4583.333333333333,0.9709662154539944
136,100.0,400.0,0.95,1000.0,10.0,0.0232207,1430.0,59.583333333333336,99.64355681340989
137,100.0,400.0,0.95,1500.0,11.0,0.02554277,671.0,27.958333333333332,99.79432763058462
138,100.0,400.0,0.95,2000.0,10.0,0.0232207,1310.0,54.583333333333336,99.27931861469158
139,100.0,400.0,0.95,2500.0,68.0,0.15790076,1088.0,45.333333333333336,99.2401965245659
