,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
0,100.0,100.0,1.0,0.01,10.0,0.01,159.0,0.36920913,12630.0,526.25
1,100.0,100.0,1.0,0.01,10.0,0.05,103.0,0.23917321,8271.0,344.625
2,100.0,100.0,1.0,0.01,10.0,0.1,73.0,0.16951111,5919.0,246.625
3,100.0,100.0,1.0,0.01,11.0,0.01,165.0,0.38314155,13388.0,557.8333333333334
4,100.0,100.0,1.0,0.01,11.0,0.05,115.0,0.26703805,9568.0,398.6666666666667
5,100.0,100.0,1.0,0.01,11.0,0.1,81.0,0.18808767,6478.0,269.9166666666667
6,100.0,100.0,1.0,0.01,12.0,0.01,167.0,0.38778569,14382.0,599.25
7,100.0,100.0,1.0,0.01,12.0,0.05,123.0,0.28561461,10085.0,420.2083333333333
8,100.0,100.0,1.0,0.01,12.0,0.1,96.0,0.22291872,7616.0,317.3333333333333
9,100.0,100.0,1.0,0.01,13.0,0.01,169.0,0.39242983,14084.0,586.8333333333334
10,100.0,100.0,1.0,0.01,13.0,0.05,137.0,0.31812359,11200.0,466.6666666666667
11,100.0,100.0,1.0,0.01,13.0,0.1,111.0,0.25774977,8730.0,363.75
12,100.0,100.0,1.0,0.01,14.0,0.01,174.0,0.40404018,14457.0,602.375
13,100.0,100.0,1.0,0.01,14.0,0.05,151.0,0.35063257,12622.0,525.9166666666666
14,100.0,100.0,1.0,0.01,14.0,0.1,131.0,0.30419117,10733.0,447.2083333333333
15,100.0,100.0,1.0,0.01,15.0,0.01,182.0,0.42261674,14671.0,611.2916666666666
16,100.0,100.0,1.0,0.01,15.0,0.05,169.0,0.39242983,14268.0,594.5
17,100.0,100.0,1.0,0.01,15.0,0.1,156.0,0.36224292,12870.0,536.25
18,100.0,100.0,1.0,0.01,16.0,0.01,179.0,0.41565053,15424.0,642.6666666666666
19,100.0,100.0,1.0,0.01,16.0,0.05,180.0,0.4179726,15177.0,632.375
20,100.0,100.0,1.0,0.01,16.0,0.1,179.0,0.41565053,14386.0,599.4166666666666
21,100.0,100.0,1.0,0.01,17.0,0.01,184.0,0.42726088,15086.0,628.5833333333334
22,100.0,100.0,1.0,0.01,17.0,0.05,177.0,0.41100639,15652.0,652.1666666666666
23,100.0,100.0,1.0,0.01,17.0,0.1,174.0,0.40404018,15847.0,660.2916666666666
24,100.0,100.0,1.0,0.05,10.0,0.01,34.0,0.07895038,2762.0,115.08333333333333
25,100.0,100.0,1.0,0.05,10.0,0.05,32.0,0.07430624,2719.0,113.29166666666667
26,100.0,100.0,1.0,0.05,10.0,0.1,28.0,0.06501796,2154.0,89.75
27,100.0,100.0,1.0,0.05,11.0,0.01,35.0,0.08127245,2616.0,109.0
28,100.0,100.0,1.0,0.05,11.0,0.05,34.0,0.07895038,2311.0,96.29166666666667
29,100.0,100.0,1.0,0.05,11.0,0.1,30.0,0.0696621,2308.0,96.16666666666667
30,100.0,100.0,1.0,0.05,12.0,0.01,41.0,0.09520487,2837.0,118.20833333333333
31,100.0,100.0,1.0,0.05,12.0,0.05,35.0,0.08127245,2634.0,109.75
32,100.0,100.0,1.0,0.05,12.0,0.1,31.0,0.07198417,2647.0,110.29166666666667
33,100.0,100.0,1.0,0.05,13.0,0.01,40.0,0.0928828,2699.0,112.45833333333333
34,100.0,100.0,1.0,0.05,13.0,0.05,35.0,0.08127245,2687.0,111.95833333333333
35,100.0,100.0,1.0,0.05,13.0,0.1,31.0,0.07198417,2699.0,112.45833333333333
36,100.0,100.0,1.0,0.05,14.0,0.01,38.0,0.08823866,2995.0,124.79166666666667
37,100.0,100.0,1.0,0.05,14.0,0.05,35.0,0.08127245,2960.0,123.33333333333333
38,100.0,100.0,1.0,0.05,14.0,0.1,33.0,0.07662831,3177.0,132.375
39,100.0,100.0,1.0,0.05,15.0,0.01,34.0,0.07895038,3173.0,132.20833333333334
40,100.0,100.0,1.0,0.05,15.0,0.05,35.0,0.08127245,3294.0,137.25
41,100.0,100.0,1.0,0.05,15.0,0.1,37.0,0.08591659,2972.0,123.83333333333333
42,100.0,100.0,1.0,0.05,16.0,0.01,38.0,0.08823866,2837.0,118.20833333333333
43,100.0,100.0,1.0,0.05,16.0,0.05,36.0,0.08359452,3193.0,133.04166666666666
44,100.0,100.0,1.0,0.05,16.0,0.1,37.0,0.08591659,3455.0,143.95833333333334
45,100.0,100.0,1.0,0.05,17.0,0.01,37.0,0.08591659,3063.0,127.625
46,100.0,100.0,1.0,0.05,17.0,0.05,35.0,0.08127245,3021.0,125.875
47,100.0,100.0,1.0,0.05,17.0,0.1,37.0,0.08591659,3385.0,141.04166666666666
48,100.0,100.0,1.0,0.1,10.0,0.01,18.0,0.04179726,1788.0,74.5
49,100.0,100.0,1.0,0.1,10.0,0.05,18.0,0.04179726,1468.0,61.166666666666664
50,100.0,100.0,1.0,0.1,10.0,0.1,15.0,0.03483105,1495.0,62.291666666666664
51,100.0,100.0,1.0,0.1,11.0,0.01,18.0,0.04179726,1415.0,58.958333333333336
52,100.0,100.0,1.0,0.1,11.0,0.05,17.0,0.03947519,1310.0,54.583333333333336
53,100.0,100.0,1.0,0.1,11.0,0.1,16.0,0.03715312,1568.0,65.33333333333333
54,100.0,100.0,1.0,0.1,12.0,0.01,19.0,0.04411933,1501.0,62.541666666666664
55,100.0,100.0,1.0,0.1,12.0,0.05,19.0,0.04411933,1437.0,59.875
56,100.0,100.0,1.0,0.1,12.0,0.1,18.0,0.04179726,1349.0,56.208333333333336
57,100.0,100.0,1.0,0.1,13.0,0.01,18.0,0.04179726,1435.0,59.791666666666664
58,100.0,100.0,1.0,0.1,13.0,0.05,16.0,0.03715312,1660.0,69.16666666666667
59,100.0,100.0,1.0,0.1,13.0,0.1,18.0,0.04179726,1348.0,56.166666666666664
60,100.0,100.0,1.0,0.1,14.0,0.01,18.0,0.04179726,1773.0,73.875
61,100.0,100.0,1.0,0.1,14.0,0.05,17.0,0.03947519,1604.0,66.83333333333333
62,100.0,100.0,1.0,0.1,14.0,0.1,18.0,0.04179726,1635.0,68.125
63,100.0,100.0,1.0,0.1,15.0,0.01,21.0,0.04876347,1340.0,55.833333333333336
64,100.0,100.0,1.0,0.1,15.0,0.05,18.0,0.04179726,1730.0,72.08333333333333
65,100.0,100.0,1.0,0.1,15.0,0.1,20.0,0.0464414,1521.0,63.375
66,100.0,100.0,1.0,0.1,16.0,0.01,16.0,0.03715312,1715.0,71.45833333333333
67,100.0,100.0,1.0,0.1,16.0,0.05,21.0,0.04876347,1442.0,60.083333333333336
68,100.0,100.0,1.0,0.1,16.0,0.1,18.0,0.04179726,1674.0,69.75
69,100.0,100.0,1.0,0.1,17.0,0.01,19.0,0.04411933,1681.0,70.04166666666667
70,100.0,100.0,1.0,0.1,17.0,0.05,19.0,0.04411933,1492.0,62.166666666666664
71,100.0,100.0,1.0,0.1,17.0,0.1,18.0,0.04179726,1586.0,66.08333333333333
72,100.0,150.0,1.0,0.01,10.0,0.01,162.0,0.37617534,14632.0,609.6666666666666
73,100.0,150.0,1.0,0.01,10.0,0.05,111.0,0.25774977,9752.0,406.3333333333333
74,100.0,150.0,1.0,0.01,10.0,0.1,78.0,0.18112146,6417.0,267.375
75,100.0,150.0,1.0,0.01,11.0,0.01,175.0,0.40636225,14217.0,592.375
76,100.0,150.0,1.0,0.01,11.0,0.05,119.0,0.27632633,9915.0,413.125
77,100.0,150.0,1.0,0.01,11.0,0.1,85.0,0.19737595,8106.0,337.75
78,100.0,150.0,1.0,0.01,12.0,0.01,175.0,0.40636225,15507.0,646.125
79,100.0,150.0,1.0,0.01,12.0,0.05,132.0,0.30651324,12005.0,500.2083333333333
