,B_VALUE,C_VALUE,BETA_S1,BETA_S2,transactions,ETH
0,200.0,200.0,0.01,100.0,54282.0,126.04660374
1,200.0,200.0,0.01,200.0,197.0,0.45744779
2,200.0,200.0,0.01,300.0,101.0,0.23452907
3,200.0,200.0,0.01,400.0,68.0,0.15790076
4,200.0,200.0,0.1,100.0,5434.0,12.61812838
5,200.0,200.0,0.1,200.0,21.0,0.04876347
6,200.0,200.0,0.1,300.0,12.0,0.02786484
7,200.0,200.0,0.1,400.0,8.0,0.01857656
8,200.0,300.0,0.01,100.0,36325.0,84.34919275
9,200.0,300.0,0.01,200.0,195.0,0.45280365
10,200.0,300.0,0.01,300.0,101.0,0.23452907
11,200.0,300.0,0.01,400.0,68.0,0.15790076
12,200.0,300.0,0.1,100.0,3638.0,8.44769066
13,200.0,300.0,0.1,200.0,21.0,0.04876347
14,200.0,300.0,0.1,300.0,12.0,0.02786484
15,200.0,300.0,0.1,400.0,8.0,0.01857656
16,200.0,400.0,0.01,100.0,27346.0,63.49932622
17,200.0,400.0,0.01,200.0,194.0,0.45048158
18,200.0,400.0,0.01,300.0,100.0,0.232207
19,200.0,400.0,0.01,400.0,68.0,0.15790076
20,200.0,400.0,0.1,100.0,2740.0,6.3624718
21,200.0,400.0,0.1,200.0,21.0,0.04876347
22,200.0,400.0,0.1,300.0,12.0,0.02786484
23,200.0,400.0,0.1,400.0,8.0,0.01857656
24,200.0,500.0,0.01,100.0,21959.0,50.99033513
25,200.0,500.0,0.01,200.0,193.0,0.44815951
26,200.0,500.0,0.01,300.0,100.0,0.232207
27,200.0,500.0,0.01,400.0,68.0,0.15790076
28,200.0,500.0,0.1,100.0,2201.0,5.11087607
29,200.0,500.0,0.1,200.0,21.0,0.04876347
30,200.0,500.0,0.1,300.0,12.0,0.02786484
31,200.0,500.0,0.1,400.0,8.0,0.01857656
32,200.0,600.0,0.01,100.0,18367.0,42.64945969
33,200.0,600.0,0.01,200.0,192.0,0.44583744
34,200.0,600.0,0.01,300.0,100.0,0.232207
35,200.0,600.0,0.01,400.0,68.0,0.15790076
36,200.0,600.0,0.1,100.0,1842.0,4.27725294
37,200.0,600.0,0.1,200.0,21.0,0.04876347
38,200.0,600.0,0.1,300.0,12.0,0.02786484
39,200.0,600.0,0.1,400.0,8.0,0.01857656
40,200.0,700.0,0.01,100.0,15802.0,36.69335014
41,200.0,700.0,0.01,200.0,191.0,0.44351537
42,200.0,700.0,0.01,300.0,99.0,0.22988493
43,200.0,700.0,0.01,400.0,68.0,0.15790076
