,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
0,5,5,1,0.01,0.01,0.01,1602,3.71995614,1602,66.75
1,5,5,1,0.01,0.01,0.1,1602,3.71995614,1602,66.75
2,5,5,1,0.01,0.1,0.01,1602,3.71995614,1602,66.75
3,5,5,1,0.01,0.1,0.1,1602,3.71995614,1602,66.75
4,5,5,1,0.1,0.01,0.01,1602,3.71995614,1602,66.75
5,5,5,1,0.1,0.01,0.1,1602,3.71995614,1602,66.75
6,5,5,1,0.1,0.1,0.01,1602,3.71995614,1602,66.75
7,5,5,1,0.1,0.1,0.1,1602,3.71995614,1602,66.75
8,5,10,1,0.01,0.01,0.01,2058,4.77882006,2058,85.75
9,5,10,1,0.01,0.01,0.1,2058,4.77882006,2058,85.75
10,5,10,1,0.01,0.1,0.01,2058,4.77882006,2058,85.75
11,5,10,1,0.01,0.1,0.1,2058,4.77882006,2058,85.75
12,5,10,1,0.1,0.01,0.01,2058,4.77882006,2058,85.75
13,5,10,1,0.1,0.01,0.1,2058,4.77882006,2058,85.75
14,5,10,1,0.1,0.1,0.01,2058,4.77882006,2058,85.75
15,5,10,1,0.1,0.1,0.1,2058,4.77882006,2058,85.75
16,5,15,1,0.01,0.01,0.01,2408,5.59154456,2408,100.3333333
17,5,15,1,0.01,0.01,0.1,2408,5.59154456,2408,100.3333333
18,5,15,1,0.01,0.1,0.01,2408,5.59154456,2408,100.3333333
19,5,15,1,0.01,0.1,0.1,2408,5.59154456,2408,100.3333333
20,5,15,1,0.1,0.01,0.01,2408,5.59154456,2408,100.3333333
21,5,15,1,0.1,0.01,0.1,2408,5.59154456,2408,100.3333333
22,5,15,1,0.1,0.1,0.01,2408,5.59154456,2408,100.3333333
23,5,15,1,0.1,0.1,0.1,2408,5.59154456,2408,100.3333333
24,5,20,1,0.01,0.01,0.01,2703,6.27655521,2703,112.625
25,5,20,1,0.01,0.01,0.1,2703,6.27655521,2703,112.625
26,5,20,1,0.01,0.1,0.01,2703,6.27655521,2703,112.625
27,5,20,1,0.01,0.1,0.1,2703,6.27655521,2703,112.625
28,5,20,1,0.1,0.01,0.01,2703,6.27655521,2703,112.625
29,5,20,1,0.1,0.01,0.1,2703,6.27655521,2703,112.625
30,5,20,1,0.1,0.1,0.01,2703,6.27655521,2703,112.625
31,5,20,1,0.1,0.1,0.1,2703,6.27655521,2703,112.625
32,5,25,1,0.01,0.01,0.01,2963,6.88029341,2963,123.4583333
33,5,25,1,0.01,0.01,0.1,2963,6.88029341,2963,123.4583333
34,5,25,1,0.01,0.1,0.01,2963,6.88029341,2963,123.4583333
35,5,25,1,0.01,0.1,0.1,2963,6.88029341,2963,123.4583333
36,5,25,1,0.1,0.01,0.01,2963,6.88029341,2963,123.4583333
37,5,25,1,0.1,0.01,0.1,2963,6.88029341,2963,123.4583333
38,5,25,1,0.1,0.1,0.01,2963,6.88029341,2963,123.4583333
39,5,25,1,0.1,0.1,0.1,2963,6.88029341,2963,123.4583333
40,5,30,1,0.01,0.01,0.01,3198,7.42597986,3198,133.25
41,5,30,1,0.01,0.01,0.1,3198,7.42597986,3198,133.25
42,5,30,1,0.01,0.1,0.01,3198,7.42597986,3198,133.25
43,5,30,1,0.01,0.1,0.1,3198,7.42597986,3198,133.25
44,5,30,1,0.1,0.01,0.01,3198,7.42597986,3198,133.25
45,5,30,1,0.1,0.01,0.1,3198,7.42597986,3198,133.25
46,5,30,1,0.1,0.1,0.01,3198,7.42597986,3198,133.25
47,5,30,1,0.1,0.1,0.1,3198,7.42597986,3198,133.25
48,5,35,1,0.01,0.01,0.01,3414,7.92754698,3414,142.25
49,5,35,1,0.01,0.01,0.1,3414,7.92754698,3414,142.25
50,5,35,1,0.01,0.1,0.01,3414,7.92754698,3414,142.25
51,5,35,1,0.01,0.1,0.1,3414,7.92754698,3414,142.25
52,5,35,1,0.1,0.01,0.01,3414,7.92754698,3414,142.25
53,5,35,1,0.1,0.01,0.1,3414,7.92754698,3414,142.25
54,5,35,1,0.1,0.1,0.01,3414,7.92754698,3414,142.25
55,5,35,1,0.1,0.1,0.1,3414,7.92754698,3414,142.25
56,5,40,1,0.01,0.01,0.01,3615,8.39428305,3615,150.625
